CodClasificacion;NombreClasificacion
0001;Agencia de viajes dual
0002;Agencia de viajes internacional
0003;Agencia de viajes mayorista
0004;Bar
0005;Bolera
0006;Cabaña
0007;Cafeteria
0008;Campamento turistico
0009;Casa de huespedes
0010;Centro de convenciones
0011;Centro de recreacion turistica
0012;Centro de turismo comunitario
0013;Discoteca
0014;Establecimiento movil
0015;Fuente de soda
0016;Hacienda turistica
0017;Hostal
0018;Hotel
0019;Lodge
0020;Operador turistico
0021;Organizadores de eventos, congresos y convenciones
0022;Pension
0023;Peña
0024;Pista de patinaje
0025;Plazas de comida
0026;Refugio
0027;Resort
0028;Restaurante
0029;Sala de baile
0030;Sala de recepciones y banquetes
0031;Servicio de catering
0032;Termas y balnearios
0033;Transporte aereo
0034;Transporte maritimo y fluvial
0035;Transporte terrestre
0036;Hostal residencia
0037;Hosteria
;
