CodEstablecimiento;nombreComercial;Direccion;ReferenciaDireccion;telefonoPrincipal;telefonoSecundario;CorreoElectronico;delivery;paginaWeb;CodProvincia;CodComercial;CodClasificacion;CodCategoria
1;FAMA LA;BOLIVAR 12-86 ;null;2843739;null;null;Si;null;01;0100;0015;039
2;COLONIAS LAS No.3;AV. ESPAÑA Y AV. HURTADO DE MENDOZA;null; 2804790;null;null;Si ;null;01;0100;0028;044
3;QUINTA ELOISA;JOSE RAFAEL PEÑAHERRERA Y FERNANDO DE ARAGON ;null;72829459;null;drraquel@live.com;No;null;01;0103;0030;039
4;PINGUINO;REMIGIO CRESPO 6 87;null;2810586;null;null;Si ;null;01;0100;0015;044
5;VILLA VERDE RECEPCIONES Y EVENTOS;AV. DE LAS AMERICAS 9-263 Y MANUELA SAENZ ;null;983123255;null;info@villaverdeventos.com;No;null;01;0103;0030;039
6;HOTEL CORDERO;BOLIVAR 6-50 BORRERO;JUNTO A LA IGLESIA DE SAN ALFONSO O DIAGONAL AL DISPENSARIO CENTRAL DEL IESS;072843084;0999074669;info@hotelcordero.com;No;null;01;0101;0018;013
7;HOTEL PUERTO BALLESTA;CALLE A S/N BOULEVAR DEL MAR;HOTEL PUERTO BALLESTA;null;0985670713;reservas@puertoballesta.com;No;www.puertoballesta.com;08;0101;0018;012
8;CONEJOS;AV. ESPAÑA N.- 9-42 Y FRANCISCO PIZARRO;null;2800410;null;null;Si;null;01;0100;0028;044
9;EL CARMELO AVENTURA AGROTURISTICA;via principal 1 SIN NOMBRE;null;042786693;0994691666;elcarmeloaventura@gmail.com;No;null;24;0101;0037;013
10;DEPARTAMENTO TOPACIO;DEL ARUPO 1-05 ALISOS;DETRAS DE LA IGLESIA DEL VERGEL, A UNA CUADRA DE LA ESCUELA CARLOS ZAMBRANO;072455322;0998160500;mafercis@hotmail.com;No;null;01;0101;0009;019
11;SUMAQ KAY;Maquiavelo E6-157 y Av. Siena;PISO: SN. SECTOR: FRENTE AL SCALA SHOPPING;999683735;992795962;reservas1@hotelsumaqkay.com;No;www.sumaqkay.com;17;0101;0018;013
12;CAPPUCHINO; BOLIVAR 10-09 Y PADRE AGUIRRE;null;2843782;null;null;Si ;null;01;0100;0015;035
13;CAFE TERTULIAS;MARIANO CUEVA 4-91 Y HONORATO VASQUEZ;null;991610014;null;DBROVOS@YAHOO.COM;Si ;null;01;0100;0007;020
